# Generated by scripts/generate_legacy_iab_mapping.py.
# Re-run if 2_1.tsv or 3_0.tsv change.
# Empty v30_id with match_type=descriptive-vector-dropped means the
# legacy id was a Channel/Type/Media-Format/Language/Source/Source-Geo
# descriptor that 3.0 removed from topical content. Drop on migrate.
legacy_id	v30_id	label	match_type
682	682	eSports	id-preserved
683	683	Mobile Games	id-preserved
684	684	PC Games	id-preserved
685	685	Video Game Genres	id-preserved
686	686	Action Video Games	id-preserved
687	687	Role-Playing Video Games	id-preserved
688	688	Simulation Video Games	id-preserved
689	689	Sports Video Games	id-preserved
690	690	Strategy Video Games	id-preserved
691	691	Action-Adventure Video Games	id-preserved
692	692	Adventure Video Games	id-preserved
693	693	Casual Games	id-preserved
694	694	Educational Video Games	id-preserved
695	695	Exercise and Fitness Video Games	id-preserved
696	696	MMOs	id-preserved
697	697	Music and Party Video Games	id-preserved
698	698	Puzzle Video Games	id-preserved
1000		Content Channel	descriptive-vector-dropped
1001		Editorial/Professional	descriptive-vector-dropped
1002		Email	descriptive-vector-dropped
1003		Forum/Community	descriptive-vector-dropped
1004		Game	descriptive-vector-dropped
1005		Marketplace/eCommerce	descriptive-vector-dropped
1006		Search Engine/Listings	descriptive-vector-dropped
1007		Social	descriptive-vector-dropped
1008		Utility/Online Tool	descriptive-vector-dropped
1009		Voice Activated Channels	descriptive-vector-dropped
1010		Content Type	descriptive-vector-dropped
1011		Academic/ResearchConent	descriptive-vector-dropped
1012		Chat/IM/Comments	descriptive-vector-dropped
1013		Educational Content	descriptive-vector-dropped
1014		Entertainment Content	descriptive-vector-dropped
1015		Feature	descriptive-vector-dropped
1016		General Social	descriptive-vector-dropped
1017		Instructional Content	descriptive-vector-dropped
1018		Interactive Content	descriptive-vector-dropped
1019		Listings/Classifieds/Product Listings/Search Results	descriptive-vector-dropped
1020		News	descriptive-vector-dropped
1021		Review	descriptive-vector-dropped
1022		Content Media Format	descriptive-vector-dropped
1023		Audio	descriptive-vector-dropped
1024		Images/Galleries	descriptive-vector-dropped
1025		Interactive	descriptive-vector-dropped
1026		Mixed	descriptive-vector-dropped
1027		Textual	descriptive-vector-dropped
1028		Video	descriptive-vector-dropped
1029		VR/AR	descriptive-vector-dropped
1030		Content Language	descriptive-vector-dropped
1031		Afar	descriptive-vector-dropped
1032		Abkhaz	descriptive-vector-dropped
1033		Avestan	descriptive-vector-dropped
1034		Afrikaans	descriptive-vector-dropped
1035		Akan	descriptive-vector-dropped
